layer,intervention_type,step,val_iia,test_iia,n_val,n_test,load_dir
15,carry_over,0,0.0,0.0,69.0,69.0,outputs/3_epochs/boundless_das_layer15_carry_over_step0/intervention
15,carry_over,1,0.09090909090909091,0.04938271604938271,66.0,81.0,outputs/3_epochs/boundless_das_layer15_carry_over_step1/intervention
20,carry_over,0,0.0,0.0,69.0,69.0,outputs/3_epochs/boundless_das_layer20_carry_over_step0/intervention
15,write_down,0,0.2751322751322751,0.2345679012345679,189.0,162.0,outputs/3_epochs/boundless_das_layer15_write_down_step0/intervention
15,write_down,1,0.06779661016949153,0.11518324607329843,177.0,191.0,outputs/3_epochs/boundless_das_layer15_write_down_step1/intervention
20,carry_over,1,0.030303030303030304,0.024691358024691357,66.0,81.0,outputs/3_epochs/boundless_das_layer20_carry_over_step1/intervention
25,carry_over,0,0.0,0.0,69.0,69.0,outputs/3_epochs/boundless_das_layer25_carry_over_step0/intervention
20,write_down,0,0.25396825396825395,0.22839506172839505,189.0,162.0,outputs/3_epochs/boundless_das_layer20_write_down_step0/intervention
20,write_down,1,0.0,0.015706806282722512,177.0,191.0,outputs/3_epochs/boundless_das_layer20_write_down_step1/intervention
25,carry_over,1,0.0,0.0,66.0,81.0,outputs/3_epochs/boundless_das_layer25_carry_over_step1/intervention
10,carry_over,0,0.0,0.0,69.0,69.0,outputs/3_epochs/boundless_das_layer10_carry_over_step0/intervention
25,write_down,0,0.0,0.0,189.0,162.0,outputs/3_epochs/boundless_das_layer25_write_down_step0/intervention
25,write_down,1,0.0,0.0,177.0,191.0,outputs/3_epochs/boundless_das_layer25_write_down_step1/intervention
10,carry_over,1,0.18181818181818182,0.12345679012345678,66.0,81.0,outputs/3_epochs/boundless_das_layer10_carry_over_step1/intervention
5,carry_over,0,0.0,0.0,69.0,69.0,outputs/3_epochs/boundless_das_layer5_carry_over_step0/intervention
10,write_down,0,0.30158730158730157,0.29012345679012347,189.0,162.0,outputs/3_epochs/boundless_das_layer10_write_down_step0/intervention
10,write_down,1,0.05649717514124294,0.05759162303664921,177.0,191.0,outputs/3_epochs/boundless_das_layer10_write_down_step1/intervention
5,carry_over,1,0.0,0.0,66.0,81.0,outputs/3_epochs/boundless_das_layer5_carry_over_step1/intervention
5,write_down,0,0.164021164021164,0.12962962962962962,189.0,162.0,outputs/3_epochs/boundless_das_layer5_write_down_step0/intervention
5,write_down,1,0.0,0.0,177.0,191.0,outputs/3_epochs/boundless_das_layer5_write_down_step1/intervention
